Camp Section 	 Camp 	 Length (ft) 	 Width (ft) 
C16-A	Camp Build a Wook	60	70
C16-B	Craig Storie	40	70
C16-C	K for Koala	110	70
C17-A	Shroompa Loompas	112	70
C17-B	Camp Bass &amp;amp; Tiddies	98	70
C18-A	Salty Spitoon	72	70
C18-B	Lui-Gigi's Mansion	76	70
C18-C	TWEAKERS PEAK	62	70
C19-A	Electric Boogaloo	92	70
C19-B	Blue Noodle Funktopus	118	70
C2-A	Struggle Bus	42	70
C2-B	Parkway Tropics	94	70
C2-C	Boofin Bambis	74	70
C20-A	The dub club	28	70
C20-B	F@#$ You I'm A WIZARD	148	70
C20-C	James Hey	34	70
C21-A	Electric Tree Party	60	70
C21-B	Spunion Patch Kids	106	70
C21-C	CAMP BLIPS AND CHITZ	44	70
C22-A	Boolin With The Bois	58	70
C22-B	LITTY T!TTY FESTY COMMITTEE	58	70
C22-C	1 Camp Supercalifragilisticexpialidocious	40	70
C22-D	Uncle Nickys Forest	54	70
C23-A	Gerald's Degenerates	42	70
C23-B	Dumpster Fire - Goin Honkin	78	70
C23-C	Camp Hype Train	90	70
C24-A	Fort Rage Rave Fam	90	70
C24-B	0Ft Away	120	70
C25-A	Camp Rabbit Hole	54	70
C25-B	PIZZA PLANET	42	70
C25-C	Team A	114	70
C26-A	Psychedelic Strangers	40	70
C26-B	Corey's Belly Slappers	118	70
C26-C	raveaholics anonymous	52	70
C27-A	Bippity Boppity Boof	84	70
C27-B	Boofy Goobers	58	70
C27-C	Charles Heimes	68	70
C28-A	Equestrian Wiggle Sauce	96	70
C28-B	Shady	36	70
C28-C	CAMP FROG GNAW	44	70
C28-D	CRACK'R'US	34	70
C29-A	Camp Litty-Titty	94	70
C29-B	Scrambled Legs	56	70
C29-C	Camp Poppers	60	70
C3-A	The Nest	114	70
C3-B	Spicy Time Fam	40	70
C3-C	E:/forest.flac	56	70
C30-A	ATL Hoes and Friends	32	70
C30-B	The Crustacean Station	44	70
C30-C	camp riggity wrecked	30	70
C30-D	The Wubby Ducklings	104	70
C31-A	Christina4President	118	70
C31-B	Jasmine Townsend	38	70
C31-C	Kandi Land	54	70
C32-A	CAMP GUACAMOLLY OG	102	70
C32-B	Camp Schwifty 2020!	64	70
C32-C	M3ga St3llar Ali3ns	44	70
C4-A	Ghosts of Serotonin's Past	210	70
C5-A	Basstronauts	102	70
C5-B	Charles Falsetti	40	70
C5-C	Camp Tittysprinkles	68	70
C6-A	Mt. Ketaminjaro	26	70
C6-B	Camp Feel My Face	54	70
C6-C	CAMP ELECTRIP	70	70
C6-D	Camp Chuck	60	70
C7-A	EXTRA GRAVY	38	70
C7-B	Alex Holkon	46	70
C7-C	Flamigos	82	70
C7-D	Group Groundscore	44	70
C8-A	Marissa Traynor	96	70
C8-B	Camp Oompa Loompa	114	70
C9-A	Camp Cuddle Puddle	82	70
C9-B	Boof Troop	62	70
C9-C	Badgerland	30	70
C9-D	Samuel Stemler	36	70
D1-A	The Boofalonians	106	70
D1-B	House Headass and Friends	44	70
D10-A	Forest Birds	42	70
D10-B	Boofs and Cats	20	70
D10-C	Lena Thomas	52	70
D10-D	Qave and Qompany	36	70
D2-A	FAITH TRUST AND PIXIE DUST	70	70
D2-B	Chungus Amongus	30	70
D2-C	We Lick Rocks	50	70
D3-A	Camp Pandamonium	92	70
D3-B	Ohana Means Gang Gang	58	70
D4-A	CAMP HOUSE PLANT	36	70
D4-B	Jeffrey Little	64	70
D4-C	SubBooferz	50	70
D5-A	The Hug House	36	70
D5-B	Where tf is Sara Tonin?	52	70
D5-C	The Dancing Lobsters	62	70
D6-A	Where's Wilson?	60	70
D6-B	Fam.ILY	90	70
D7-A	BOOF TROOP	50	70
D7-B	Love, Peace, Taco Grease	56	70
D7-C	Under the Moon	44	70
D8-A	Au Jus Vending Machine	92	70
D8-B	CAMP KIND NEIGHBORS	58	70
D9-A	People of the Dome	42	70
D9-B	Wook Wonderland	50	70
D9-C	Baby Kyle	58	70
